Name,Status,Type,Created,Carga Horária,Plataforma
Data analysis: introdução a séries temporais e análises,Not Started,Lesson,"October 5, 2022 3:56 PM",8h,Alura
Data Visualization: explorando com Seaborn,Not Started,Lesson,"October 5, 2022 3:50 PM",6h,Alura
Power BI: explorando recursos visuais,Not Started,Lesson,"September 29, 2022 10:50 PM",8h,Alura
Power BI: entendendo as fórmulas DAX,Not Started,Lesson,"September 29, 2022 10:44 PM",10h,Alura
Power BI Desktop: tratamento de dados no Power Query,Not Started,Lesson,"September 29, 2022 10:40 PM",8h,Alura
Dashboard com Power BI: visualizando dados,Not Started,Lesson,"September 29, 2022 10:39 PM",8h,Alura
Power BI Desktop: construindo meu primeiro dashboard,Not Started,Lesson,"September 29, 2022 10:37 PM",8h,Alura
Python 3 - Mundo 3,Complete,Lesson,"September 29, 2022 10:35 PM",40h,Curso Em Vídeo
Python 3 - Mundo 2,Complete,Lesson,"September 29, 2022 10:34 PM",40h,Curso Em Vídeo
Python 3 - Mundo 1,Complete,Lesson,"September 29, 2022 10:33 PM",40h,Curso em Vídeo
Algoritmo,Complete,Lesson,"September 29, 2022 10:32 PM",40h,Curso Em Vídeo
Python: entendendo a Orientação a Objetos,Complete,Lesson,"September 29, 2022 10:27 PM",12h,Alura
Python: avançando na orientação a objetos,Complete,Lesson,"September 29, 2022 10:26 PM",10h,Alura
"Análise de dados: cálculos, padrões e estratégias com Excel",Complete,Lesson,"September 29, 2022 10:22 PM",6h,Alura
Data Visualization: criação de gráficos com o Matplotlib,Not Started,Lesson,"September 29, 2022 10:20 PM",6h,Alura
Data Science: analise e visualização de dados.,Complete,Lesson,"September 29, 2022 10:17 PM",6h,Alura
Python Pandas: tratando e analisando dados,Complete,Lesson,"September 29, 2022 10:15 PM",12h,Alura
Estatística com Python: frequências e medidas,Complete,Lesson,"September 29, 2022 10:13 PM",10h,Alura
Data Visualization: técnicas de visualização com Google Sheets,Not Started,Lesson,"September 29, 2022 10:09 PM",8h,Alura
Regressão Linear: técnicas avançadas de modelagem,Not Started,Lesson,"September 29, 2022 10:07 PM",5h,Alura
Estatística com Python: probabilidade e amostragem,Complete,Lesson,"September 29, 2022 9:39 PM",10h,Alura
Regressão linear: testando relações e prevendo resultados,In Progress,Lesson,"September 29, 2022 9:39 PM",12h,Alura